10 .00000108940000000000
110 .00001201200000000000
210 .00002546000000000000
310 .00003888000000000000
410 .00005470000000000000
510 .00007006000000000000
610 .00008610000000000000
710 .00010288000000000000
810 .00011534000000000000
910 .00013240000000000000
1010 .00015180000000000000
1110 .00016820000000000000
1210 .00018820000000000000
1310 .00020340000000000000
1410 .00021960000000000000
1510 .00023740000000000000
1610 .00025500000000000000
1710 .00027500000000000000
1810 .00029140000000000000
1910 .00030900000000000000
2010 .00032580000000000000
2110 .00034680000000000000
2210 .00036140000000000000
2310 .00038040000000000000
2410 .00039940000000000000
2510 .00042000000000000000
2610 .00043660000000000000
2710 .00045800000000000000
2810 .00047800000000000000
2910 .00049180000000000000
3010 .00051000000000000000
3110 .00052740000000000000
3210 .00055080000000000000
3310 .00056980000000000000
3410 .00058900000000000000
3510 .00061300000000000000
3610 .00062980000000000000
3710 .00064760000000000000
3810 .00066640000000000000
3910 .00070140000000000000
4010 .00070800000000000000
4110 .00072340000000000000
4210 .00074760000000000000
4310 .00077060000000000000
4410 .00078440000000000000
4510 .00080440000000000000
4610 .00082420000000000000
4710 .00084340000000000000
4810 .00086820000000000000
4910 .00088400000000000000
5010 .00089880000000000000
5110 .00092440000000000000
5210 .00094160000000000000
5310 .00096300000000000000
5410 .00098860000000000000
5510 .00100300000000000000
5610 .00102660000000000000
5710 .00103220000000000000
5810 .00106280000000000000
5910 .00108740000000000000
6010 .00110500000000000000
6110 .00112460000000000000
6210 .00113080000000000000
6310 .00116200000000000000
6410 .00120620000000000000
6510 .00121200000000000000
6610 .00123800000000000000
6710 .00125200000000000000
6810 .00127000000000000000
6910 .00129400000000000000
7010 .00131400000000000000
7110 .00133200000000000000
7210 .00135200000000000000
7310 .00133800000000000000
7410 .00138600000000000000
7510 .00142000000000000000
7610 .00143800000000000000
7710 .00146000000000000000
7810 .00146600000000000000
7910 .00149000000000000000
8010 .00150800000000000000
8110 .00153800000000000000
8210 .00156200000000000000
8310 .00156400000000000000
8410 .00160200000000000000
8510 .00163400000000000000
8610 .00165600000000000000
8710 .00167000000000000000
8810 .00167000000000000000
8910 .00169400000000000000
9010 .00175200000000000000
9110 .00175000000000000000
9210 .00177400000000000000
9310 .00179600000000000000
9410 .00181600000000000000
9510 .00184200000000000000
9610 .00185800000000000000
9710 .00187800000000000000
9810 .00190800000000000000
9910 .00192400000000000000
